"type","longitude","latitude"
"Hospital",-9.1867883,38.6992085
"Hospital",-9.1869426,38.6994209
"Hospital",-9.1865559,38.6989662
"Hospital",-9.1757319,38.7567214
"Hospital",-9.1921478,38.7566282
"Hospital",-9.1921182,38.7566611
"Hospital",-9.1934001,38.7572491
"Hospital",-9.1941378,38.7564257
"Hospital",-9.1936177,38.7561435
"Hospital",-9.1931242,38.7558703
"Hospital",-9.192719,38.7556543
"Hospital",-9.1924869,38.7555262
"Hospital",-9.1933576,38.7560021
"Hospital",-9.1579315,38.766472
"Hospital",-9.1578704,38.7664537
"Hospital",-9.1578134,38.7664255
"Hospital",-9.1577819,38.7663983
"Hospital",-9.1612339,38.7640256
"Hospital",-9.1459279,38.7609187
"Hospital",-9.1433548,38.7576157
"Hospital",-9.1447165,38.7603193
"Hospital",-9.1462972,38.7610427
"Hospital",-9.1465431,38.7610628
"Hospital",-9.1467614,38.7610483
"Hospital",-9.1484475,38.7604701
"Hospital",-9.1474864,38.7607803
"Hospital",-9.1475116,38.7608278
"Hospital",-9.1484728,38.7605177
"Hospital",-9.1491545,38.7602501
"Hospital",-9.1493061,38.7601298
"Hospital",-9.1496092,38.7596248
"Hospital",-9.1495357,38.7598194
"Hospital",-9.1485597,38.7559453
"Hospital",-9.1486562,38.755953
"Hospital",-9.1460979,38.7570476
"Hospital",-9.1522263,38.7403402
"Hospital",-9.1522928,38.7402903
"Hospital",-9.1510021,38.7407427
"Hospital",-9.1517872,38.7405335
"Hospital",-9.151283,38.7406676
"Hospital",-9.1535029,38.7415354
"Hospital",-9.1536421,38.7412404
"Hospital",-9.1533555,38.7416222
"Hospital",-9.1529052,38.7418995
"Hospital",-9.1526498,38.7420529
"Hospital",-9.1508747,38.7424915
"Hospital",-9.1531948,38.7391635
"Hospital",-9.1536662,38.739777
"Hospital",-9.1542201,38.7403069
"Hospital",-9.1542094,38.7402781
"Hospital",-9.162188,38.7393434
"Hospital",-9.1621092,38.7393662
"Hospital",-9.164837,38.7405375
"Hospital",-9.1648336,38.7405077
"Hospital",-9.1642711,38.7405728
"Hospital",-9.1644673,38.740566
"Hospital",-9.1650898,38.7404784
"Hospital",-9.1650985,38.7405171
"Hospital",-9.1619764,38.7393256
"Hospital",-9.144404,38.7218426
"Hospital",-9.1445652,38.7218189
"Hospital",-9.1447525,38.7222985
"Hospital",-9.1439965,38.7222693
"Hospital",-9.0989524,38.7587289
"Hospital",-9.0987282,38.7585063
